0	0.000012
1	0.000042
2	0.000060
3	0.000084
4	0.000108
5	0.000138
6	0.000174
7	0.000234
8	0.000277
9	0.000433
10	0.000589
11	0.000782
12	0.001088
13	0.001353
14	0.001659
15	0.002038
16	0.002405
17	0.002802
18	0.003181
19	0.003547
20	0.003842
21	0.004149
22	0.004521
23	0.004816
24	0.005123
25	0.005369
26	0.005706
27	0.005910
28	0.006205
29	0.006554
30	0.006896
31	0.007197
32	0.007407
33	0.007708
34	0.007991
35	0.008249
36	0.008478
37	0.008826
38	0.009055
39	0.009301
40	0.009590
41	0.009873
42	0.010281
43	0.010696
44	0.011027
45	0.011538
46	0.012037
47	0.012494
48	0.012939
49	0.013576
50	0.014045
51	0.014604
52	0.015278
53	0.015921
54	0.016697
55	0.017508
56	0.018452
57	0.019450
58	0.020455
59	0.021495
60	0.022415
61	0.023521
62	0.024663
63	0.025836
64	0.027267
65	0.028926
66	0.031013
67	0.033273
68	0.036021
69	0.039256
70	0.043122
71	0.047481
72	0.052549
73	0.058093
74	0.064117
75	0.071296
76	0.078517
77	0.085907
78	0.094024
79	0.102591
80	0.111760
81	0.121699
82	0.132702
83	0.143735
84	0.156169
85	0.169030
86	0.182732
87	0.197270
88	0.212626
89	0.228175
90	0.244757
91	0.262614
92	0.281277
93	0.299922
94	0.318759
95	0.337494
96	0.356830
97	0.376804
98	0.397577
99	0.418284
100	0.438426
101	0.457293
102	0.476190
103	0.493368
104	0.510961
105	0.528283
106	0.545851
107	0.562199
108	0.576611
109	0.589430
110	0.602357
111	0.614718
112	0.626485
113	0.637079
114	0.646585
115	0.656036
116	0.664442
117	0.673094
118	0.680910
119	0.688714
120	0.696200
121	0.703601
122	0.710816
123	0.717232
124	0.723328
125	0.728343
126	0.732972
127	0.737668
128	0.741877
129	0.745990
130	0.749868
131	0.753944
132	0.757738
133	0.761273
134	0.764965
135	0.768326
136	0.772060
137	0.775715
138	0.778758
139	0.782064
140	0.785005
141	0.787963
142	0.790861
143	0.793921
144	0.796970
145	0.799886
146	0.802934
147	0.805994
148	0.809217
149	0.812518
150	0.815891
151	0.819005
152	0.822300
153	0.825427
154	0.828691
155	0.831686
156	0.834734
157	0.837548
158	0.840272
159	0.843206
160	0.845977
161	0.848352
162	0.850956
163	0.853469
164	0.855838
165	0.857954
166	0.860275
167	0.862590
168	0.865019
169	0.867382
170	0.869565
171	0.871807
172	0.873894
173	0.875902
174	0.878090
175	0.880249
176	0.882293
177	0.884313
178	0.886255
179	0.888167
180	0.890344
181	0.892472
182	0.894577
183	0.896825
184	0.898834
185	0.900788
186	0.902639
187	0.904539
188	0.906379
189	0.908105
190	0.909722
191	0.911298
192	0.912903
193	0.914406
194	0.916005
195	0.917713
196	0.919270
197	0.921056
198	0.922727
199	0.924363
200	0.926022
201	0.927537
202	0.929137
203	0.930429
204	0.932029
205	0.933688
206	0.935221
207	0.936917
208	0.938666
209	0.940278
210	0.941745
211	0.943302
212	0.944805
213	0.946465
214	0.948046
215	0.949747
216	0.951395
217	0.953006
218	0.954714
219	0.956343
220	0.957774
221	0.959337
222	0.960798
223	0.962326
224	0.963877
225	0.965410
226	0.967208
227	0.969198
228	0.971068
229	0.972950
230	0.974874
231	0.976948
232	0.978860
233	0.980856
234	0.982846
235	0.984572
236	0.986400
237	0.987993
238	0.989586
239	0.990975
240	0.992352
241	0.993422
242	0.994336
243	0.995220
244	0.996056
245	0.996777
246	0.997318
247	0.997890
248	0.998346
249	0.998719
250	0.999068
251	0.999369
252	0.999555
253	0.999723
254	0.999904
255	1.000000
